Gene	Slope	P-value
U91319.1	U91319.1	U91319.1
AC003009.1	AC003009.1	AC003009.1
TMF1P1	TMF1P1	TMF1P1
U95743.1	U95743.1	U95743.1
ERCC4	ERCC4	ERCC4
RPS26P52	RPS26P52	RPS26P52
CTD-2135D7.2	CTD-2135D7.2	CTD-2135D7.2
CTD-2135D7.3	CTD-2135D7.3	CTD-2135D7.3
LINC02185	LINC02185	LINC02185
LINC02186	LINC02186	LINC02186
MKL2	MKL2	MKL2
CTA-276F8.1	CTA-276F8.1	CTA-276F8.1
CTA-276F8.2	CTA-276F8.2	CTA-276F8.2
TVP23CP2	TVP23CP2	TVP23CP2
MIR193BHG	MIR193BHG	MIR193BHG
MIR193B	MIR193B	MIR193B
MIR365A	MIR365A	MIR365A
LINC02130	LINC02130	LINC02130
RP11-65J21.4	RP11-65J21.4	RP11-65J21.4
PARN	PARN	PARN
RN7SL274P	RN7SL274P	RN7SL274P
BFAR	BFAR	BFAR
RNU7-125P	RNU7-125P	RNU7-125P
PLA2G10	PLA2G10	PLA2G10
RP11-82O18.2	RP11-82O18.2	RP11-82O18.2
NPIPA3	NPIPA3	NPIPA3
RP11-719K4.3	RP11-719K4.3	RP11-719K4.3
RP11-719K4.6	RP11-719K4.6	RP11-719K4.6
NPIPA2	NPIPA2	NPIPA2
RP11-680G24.1	RP11-680G24.1	RP11-680G24.1
ABCC6P2	ABCC6P2	ABCC6P2
NOMO1	NOMO1	NOMO1
RP11-719K4.7	RP11-719K4.7	RP11-719K4.7
MIR3179-1	MIR3179-1	MIR3179-1
MIR3670-1	MIR3670-1	MIR3670-1
MIR3180-1	MIR3180-1	MIR3180-1
RP11-958N24.1	RP11-958N24.1	RP11-958N24.1
MIR6511A1	MIR6511A1	MIR6511A1
MIR6770-1	MIR6770-1	MIR6770-1
NPIPA1	NPIPA1	NPIPA1
RP11-680G24.7	RP11-680G24.7	RP11-680G24.7
PDXDC1	PDXDC1	PDXDC1
RP11-680G24.4	RP11-680G24.4	RP11-680G24.4
MIR1972-1	MIR1972-1	MIR1972-1
RP11-680G24.6	RP11-680G24.6	RP11-680G24.6
NTAN1	NTAN1	NTAN1
RRN3	RRN3	RRN3
RP11-72I8.1	RP11-72I8.1	RP11-72I8.1
NPIPP1	NPIPP1	NPIPP1
PKD1P6	PKD1P6	PKD1P6
MIR6511B2	MIR6511B2	MIR6511B2
MIR3180-4	MIR3180-4	MIR3180-4
RP11-72I8.2	RP11-72I8.2	RP11-72I8.2
NPIPA5	NPIPA5	NPIPA5
MPV17L	MPV17L	MPV17L
C16orf45	C16orf45	C16orf45
KIAA0430	KIAA0430	KIAA0430
CTB-193M12.1	CTB-193M12.1	CTB-193M12.1
NDE1	NDE1	NDE1
CTB-193M12.3	CTB-193M12.3	CTB-193M12.3
CTB-193M12.5	CTB-193M12.5	CTB-193M12.5
MYH11	MYH11	MYH11
AF001548.5	AF001548.5	AF001548.5
AF001548.6	AF001548.6	AF001548.6
AF001548.3	AF001548.3	AF001548.3
FOPNL	FOPNL	FOPNL
RNU6-213P	RNU6-213P	RNU6-213P
CTA-972D3.2	CTA-972D3.2	CTA-972D3.2
RPL15P20	RPL15P20	RPL15P20
ABCC1	ABCC1	ABCC1
RPL17P40	RPL17P40	RPL17P40
ABCC6	ABCC6	ABCC6
RP11-517A5.7	RP11-517A5.7	RP11-517A5.7
NOMO3	NOMO3	NOMO3
RP11-517A5.6	RP11-517A5.6	RP11-517A5.6
RP11-517A5.5	RP11-517A5.5	RP11-517A5.5
MIR3179-2	MIR3179-2	MIR3179-2
MIR3670-2	MIR3670-2	MIR3670-2
MIR3180-2	MIR3180-2	MIR3180-2
PKD1P1	PKD1P1	PKD1P1
AC138969.4	AC138969.4	AC138969.4
MIR6511A2	MIR6511A2	MIR6511A2
MIR6770-2	MIR6770-2	MIR6770-2
RP11-958N24.4	RP11-958N24.4	RP11-958N24.4
RP11-958N24.2	RP11-958N24.2	RP11-958N24.2
MIR6511A3	MIR6511A3	MIR6511A3
NPIPA7	NPIPA7	NPIPA7
RP11-467M13.2	RP11-467M13.2	RP11-467M13.2
RP11-467M13.3	RP11-467M13.3	RP11-467M13.3
RP11-14N9.2	RP11-14N9.2	RP11-14N9.2
RP11-14N9.1	RP11-14N9.1	RP11-14N9.1
RP11-419L9.1	RP11-419L9.1	RP11-419L9.1
CTD-2576D5.1	CTD-2576D5.1	CTD-2576D5.1
CTD-2576D5.3	CTD-2576D5.3	CTD-2576D5.3
CTD-2576D5.2	CTD-2576D5.2	CTD-2576D5.2
XYLT1	XYLT1	XYLT1
CTD-2576D5.4	CTD-2576D5.4	CTD-2576D5.4
RP11-1102P22.3	RP11-1102P22.3	RP11-1102P22.3
RP11-1102P22.1	RP11-1102P22.1	RP11-1102P22.1
RP11-1102P22.2	RP11-1102P22.2	RP11-1102P22.2
RP11-567P19.1	RP11-567P19.1	RP11-567P19.1
RP11-916L7.1	RP11-916L7.1	RP11-916L7.1
CTD-3229J4.1	CTD-3229J4.1	CTD-3229J4.1
RPL7P47	RPL7P47	RPL7P47
CTA-481E9.2	CTA-481E9.2	CTA-481E9.2
CTA-481E9.4	CTA-481E9.4	CTA-481E9.4
CTA-481E9.3	CTA-481E9.3	CTA-481E9.3
RP11-164A6.1	RP11-164A6.1	RP11-164A6.1
CTD-2036A2.1	CTD-2036A2.1	CTD-2036A2.1
RP11-1212A22.7	RP11-1212A22.7	RP11-1212A22.7
NPIPA8	NPIPA8	NPIPA8
RP11-1212A22.1	RP11-1212A22.1	RP11-1212A22.1
MIR6511A4	MIR6511A4	MIR6511A4
RP11-1212A22.8	RP11-1212A22.8	RP11-1212A22.8
RP11-1212A22.4	RP11-1212A22.4	RP11-1212A22.4
PKD1P5	PKD1P5	PKD1P5
MIR6770-3	MIR6770-3	MIR6770-3
MIR3180-3	MIR3180-3	MIR3180-3
MIR3670-3	MIR3670-3	MIR3670-3
MIR3179-3	MIR3179-3	MIR3179-3
NOMO2	NOMO2	NOMO2
MIR3670-4	MIR3670-4	MIR3670-4
MIR3179-4	MIR3179-4	MIR3179-4
RP11-457I16.4	RP11-457I16.4	RP11-457I16.4
RP11-457I16.2	RP11-457I16.2	RP11-457I16.2
ABCC6P1	ABCC6P1	ABCC6P1
RPS15A	RPS15A	RPS15A
ARL6IP1	ARL6IP1	ARL6IP1
RP11-1035H13.2	RP11-1035H13.2	RP11-1035H13.2
SMG1	SMG1	SMG1
CTD-2288F12.1	CTD-2288F12.1	CTD-2288F12.1
TMC7	TMC7	TMC7
RNU6-1340P	RNU6-1340P	RNU6-1340P
RP11-626G11.5	RP11-626G11.5	RP11-626G11.5
RP11-626G11.1	RP11-626G11.1	RP11-626G11.1
COQ7	COQ7	COQ7
RP11-626G11.4	RP11-626G11.4	RP11-626G11.4
RP11-626G11.6	RP11-626G11.6	RP11-626G11.6
ITPRIPL2	ITPRIPL2	ITPRIPL2
SYT17	SYT17	SYT17
CLEC19A	CLEC19A	CLEC19A
CTA-363E6.1	CTA-363E6.1	CTA-363E6.1
CTA-363E6.2	CTA-363E6.2	CTA-363E6.2
CTA-363E6.3	CTA-363E6.3	CTA-363E6.3
TMC5	TMC5	TMC5
CTA-363E6.5	CTA-363E6.5	CTA-363E6.5
CTA-363E6.6	CTA-363E6.6	CTA-363E6.6
GDE1	GDE1	GDE1
CCP110	CCP110	CCP110
C16orf62	C16orf62	C16orf62
AC002550.6	AC002550.6	AC002550.6
KNOP1	KNOP1	KNOP1
AC002550.5	AC002550.5	AC002550.5
IQCK	IQCK	IQCK
CTD-2380F24.1	CTD-2380F24.1	CTD-2380F24.1
LARP7P2	LARP7P2	LARP7P2
GPRC5B	GPRC5B	GPRC5B
GPR139	GPR139	GPR139
RP11-204E4.4	RP11-204E4.4	RP11-204E4.4
RP11-204E4.3	RP11-204E4.3	RP11-204E4.3
SNRPEP3	SNRPEP3	SNRPEP3
GP2	GP2	GP2
UMOD	UMOD	UMOD
PDILT	PDILT	PDILT
RP11-429K17.1	RP11-429K17.1	RP11-429K17.1
ACSM5	ACSM5	ACSM5
CTD-2194A8.2	CTD-2194A8.2	CTD-2194A8.2
ACSM2A	ACSM2A	ACSM2A
CTD-3076M17.1	CTD-3076M17.1	CTD-3076M17.1
ACSM2B	ACSM2B	ACSM2B
RP11-143N13.2	RP11-143N13.2	RP11-143N13.2
ACSM5P1	ACSM5P1	ACSM5P1
ACSM3	ACSM3	ACSM3
RP11-143N13.4	RP11-143N13.4	RP11-143N13.4
RP11-143N13.3	RP11-143N13.3	RP11-143N13.3
ACSM1	ACSM1	ACSM1
THUMPD1	THUMPD1	THUMPD1
AC004381.8	AC004381.8	AC004381.8
AC004381.7	AC004381.7	AC004381.7
ERI2	ERI2	ERI2
RNU6-944P	RNU6-944P	RNU6-944P
AC004381.6	AC004381.6	AC004381.6
U4atac	U4atac	U4atac
DCUN1D3	DCUN1D3	DCUN1D3
LYRM1	LYRM1	LYRM1
DNAH3	DNAH3	DNAH3
CTC-508F8.1	CTC-508F8.1	CTC-508F8.1
TMEM159	TMEM159	TMEM159
AF001550.7	AF001550.7	AF001550.7
ZP2	ZP2	ZP2
ANKS4B	ANKS4B	ANKS4B
CRYM	CRYM	CRYM
AF001550.9	AF001550.9	AF001550.9
CRYM-AS1	CRYM-AS1	CRYM-AS1
CTD-2547E10.6	CTD-2547E10.6	CTD-2547E10.6
CTD-2547E10.3	CTD-2547E10.3	CTD-2547E10.3
SNX29P1	SNX29P1	SNX29P1
CTD-2547E10.5	CTD-2547E10.5	CTD-2547E10.5
NPIPB3	NPIPB3	NPIPB3
SMG1P3	SMG1P3	SMG1P3
MIR3680-1	MIR3680-1	MIR3680-1
CTB-31N19.5	CTB-31N19.5	CTB-31N19.5
CTB-31N19.2	CTB-31N19.2	CTB-31N19.2
CTB-31N19.4	CTB-31N19.4	CTB-31N19.4
METTL9	METTL9	METTL9
CTB-31N19.3	CTB-31N19.3	CTB-31N19.3
IGSF6	IGSF6	IGSF6
RNU6-1005P	RNU6-1005P	RNU6-1005P
RNU6-196P	RNU6-196P	RNU6-196P
OTOA	OTOA	OTOA
RP11-645C24.5	RP11-645C24.5	RP11-645C24.5
RRN3P1	RRN3P1	RRN3P1
RP11-645C24.6	RP11-645C24.6	RP11-645C24.6
NPIPB4	NPIPB4	NPIPB4
SMG1P4	SMG1P4	SMG1P4
RP11-645C24.4	RP11-645C24.4	RP11-645C24.4
CTD-2649C14.2	CTD-2649C14.2	CTD-2649C14.2
UQCRC2	UQCRC2	UQCRC2
PDZD9	PDZD9	PDZD9
CTD-2649C14.1	CTD-2649C14.1	CTD-2649C14.1
CTD-2649C14.3	CTD-2649C14.3	CTD-2649C14.3
C16orf52	C16orf52	C16orf52
RP11-101E7.2	RP11-101E7.2	RP11-101E7.2
VWA3A	VWA3A	VWA3A
SDR42E2	SDR42E2	SDR42E2
EEF2K	EEF2K	EEF2K
RP11-141O15.1	RP11-141O15.1	RP11-141O15.1
POLR3E	POLR3E	POLR3E
CDR2	CDR2	CDR2
RP11-21M24.3	RP11-21M24.3	RP11-21M24.3
RP11-21M24.2	RP11-21M24.2	RP11-21M24.2
MFSD13B	MFSD13B	MFSD13B
RRN3P3	RRN3P3	RRN3P3
SMG1P1	SMG1P1	SMG1P1
NPIPB5	NPIPB5	NPIPB5
RP11-368J21.4	RP11-368J21.4	RP11-368J21.4
RP11-368J21.3	RP11-368J21.3	RP11-368J21.3
RP11-105C19.2	RP11-105C19.2	RP11-105C19.2
RP11-105C19.1	RP11-105C19.1	RP11-105C19.1
CTC-591M7.1	CTC-591M7.1	CTC-591M7.1
HS3ST2	HS3ST2	HS3ST2
RP11-20G6.2	RP11-20G6.2	RP11-20G6.2
USP31	USP31	USP31
SCNN1G	SCNN1G	SCNN1G
CTC-391G2.1	CTC-391G2.1	CTC-391G2.1
SCNN1B	SCNN1B	SCNN1B
COG7	COG7	COG7
RN7SKP23	RN7SKP23	RN7SKP23
CTD-2270L9.2	CTD-2270L9.2	CTD-2270L9.2
CTD-2270L9.4	CTD-2270L9.4	CTD-2270L9.4
GGA2	GGA2	GGA2
AC002400.1	AC002400.1	AC002400.1
EARS2	EARS2	EARS2
SUB1P4	SUB1P4	SUB1P4
UBFD1	UBFD1	UBFD1
CTD-2196E14.6	CTD-2196E14.6	CTD-2196E14.6
NDUFAB1	NDUFAB1	NDUFAB1
PALB2	PALB2	PALB2
CTD-2196E14.3	CTD-2196E14.3	CTD-2196E14.3
DCTN5	DCTN5	DCTN5
PLK1	PLK1	PLK1
CTD-2196E14.5	CTD-2196E14.5	CTD-2196E14.5
ERN2	ERN2	ERN2
CTD-2196E14.8	CTD-2196E14.8	CTD-2196E14.8
CTD-2385L22.1	CTD-2385L22.1	CTD-2385L22.1
CTD-2385L22.2	CTD-2385L22.2	CTD-2385L22.2
CHP2	CHP2	CHP2
PRKCB	PRKCB	PRKCB
CTA-345G4.1	CTA-345G4.1	CTA-345G4.1
CTA-113A6.1	CTA-113A6.1	CTA-113A6.1
MIR1273H	MIR1273H	MIR1273H
CTA-113A6.2	CTA-113A6.2	CTA-113A6.2
LINC2194	LINC2194	LINC2194
CACNG3	CACNG3	CACNG3
RNU7-24P	RNU7-24P	RNU7-24P
CTD-2313J23.1	CTD-2313J23.1	CTD-2313J23.1
RBBP6	RBBP6	RBBP6
TNRC6A	TNRC6A	TNRC6A
LINC01567	LINC01567	LINC01567
CTD-2515A14.1	CTD-2515A14.1	CTD-2515A14.1
SLC5A11	SLC5A11	SLC5A11
ARHGAP17	ARHGAP17	ARHGAP17
RP11-266L9.1	RP11-266L9.1	RP11-266L9.1
RP11-266L9.4	RP11-266L9.4	RP11-266L9.4
LINC02175	LINC02175	LINC02175
SCML2P2	SCML2P2	SCML2P2
RP11-266L9.6	RP11-266L9.6	RP11-266L9.6
LCMT1-AS1	LCMT1-AS1	LCMT1-AS1
RP11-266L9.3	RP11-266L9.3	RP11-266L9.3
RP11-266L9.8	RP11-266L9.8	RP11-266L9.8
LCMT1	LCMT1	LCMT1
LCMT1-AS2	LCMT1-AS2	LCMT1-AS2
RN7SL557P	RN7SL557P	RN7SL557P
AQP8	AQP8	AQP8
ZKSCAN2	ZKSCAN2	ZKSCAN2
CTD-2547G23.4	CTD-2547G23.4	CTD-2547G23.4
LINC02191	LINC02191	LINC02191
CYCSP39	CYCSP39	CYCSP39
HS3ST4	HS3ST4	HS3ST4
RP11-185O21.1	RP11-185O21.1	RP11-185O21.1
MIR548W	MIR548W	MIR548W
RNA5SP405	RNA5SP405	RNA5SP405
HMGN2P3	HMGN2P3	HMGN2P3
HSPE1P16	HSPE1P16	HSPE1P16
AC009158.1	AC009158.1	AC009158.1
AC130464.1	AC130464.1	AC130464.1
LINC02195	LINC02195	LINC02195
RP11-142A12.1	RP11-142A12.1	RP11-142A12.1
C16orf82	C16orf82	C16orf82
EEF1A1P38	EEF1A1P38	EEF1A1P38
LINC02129	LINC02129	LINC02129
KDM8	KDM8	KDM8
CTD-3203P2.1	CTD-3203P2.1	CTD-3203P2.1
NSMCE1	NSMCE1	NSMCE1
FLJ21408	FLJ21408	FLJ21408
CTD-3203P2.3	CTD-3203P2.3	CTD-3203P2.3
IL4R	IL4R	IL4R
IL21R	IL21R	IL21R
IL21R-AS1	IL21R-AS1	IL21R-AS1
GTF3C1	GTF3C1	GTF3C1
KIAA0556	KIAA0556	KIAA0556
AC002551.1	AC002551.1	AC002551.1
CTD-2049O4.1	CTD-2049O4.1	CTD-2049O4.1
CTD-2049O4.2	CTD-2049O4.2	CTD-2049O4.2
GSG1L	GSG1L	GSG1L
RNU6-159P	RNU6-159P	RNU6-159P
RNU6-1241P	RNU6-1241P	RNU6-1241P
XPO6	XPO6	XPO6
TPRKBP2	TPRKBP2	TPRKBP2
RNY1P10	RNY1P10	RNY1P10
GAPDHP35	GAPDHP35	GAPDHP35
RP11-57A19.7	RP11-57A19.7	RP11-57A19.7
RP11-57A19.2	RP11-57A19.2	RP11-57A19.2
SBK1	SBK1	SBK1
RP11-57A19.6	RP11-57A19.6	RP11-57A19.6
NPIPB6	NPIPB6	NPIPB6
RP11-435I10.5	RP11-435I10.5	RP11-435I10.5
EIF3CL	EIF3CL	EIF3CL
MIR6862-1	MIR6862-1	MIR6862-1
CDC37P2	CDC37P2	CDC37P2
RP11-435I10.6	RP11-435I10.6	RP11-435I10.6
RP11-57A19.5	RP11-57A19.5	RP11-57A19.5
NPIPB7	NPIPB7	NPIPB7
CLN3	CLN3	CLN3
APOBR	APOBR	APOBR
IL27	IL27	IL27
NUPR1	NUPR1	NUPR1
RP11-666O2.1	RP11-666O2.1	RP11-666O2.1
RP11-666O2.2	RP11-666O2.2	RP11-666O2.2
SGF29	SGF29	SGF29
SULT1A2	SULT1A2	SULT1A2
RP11-666O2.4	RP11-666O2.4	RP11-666O2.4
RP11-666O2.5	RP11-666O2.5	RP11-666O2.5
SULT1A1	SULT1A1	SULT1A1
NPIPB8	NPIPB8	NPIPB8
RP11-57A19.4	RP11-57A19.4	RP11-57A19.4
EIF3C	EIF3C	EIF3C
CDC37P1	CDC37P1	CDC37P1
MIR6862-2	MIR6862-2	MIR6862-2
RP11-1348G14.6	RP11-1348G14.6	RP11-1348G14.6
NPIPB9	NPIPB9	NPIPB9
RP11-1348G14.7	RP11-1348G14.7	RP11-1348G14.7
RP11-1348G14.4	RP11-1348G14.4	RP11-1348G14.4
RP11-1348G14.1	RP11-1348G14.1	RP11-1348G14.1
RP11-1348G14.5	RP11-1348G14.5	RP11-1348G14.5
RP11-1348G14.8	RP11-1348G14.8	RP11-1348G14.8
ATXN2L	ATXN2L	ATXN2L
RP11-24N18.1	RP11-24N18.1	RP11-24N18.1
TUFM	TUFM	TUFM
MIR4721	MIR4721	MIR4721
SH2B1	SH2B1	SH2B1
RP11-22P6.2	RP11-22P6.2	RP11-22P6.2
ATP2A1	ATP2A1	ATP2A1
ATP2A1-AS1	ATP2A1-AS1	ATP2A1-AS1
RABEP2	RABEP2	RABEP2
CD19	CD19	CD19
NFATC2IP	NFATC2IP	NFATC2IP
RP11-264B17.2	RP11-264B17.2	RP11-264B17.2
RP11-264B17.4	RP11-264B17.4	RP11-264B17.4
SPNS1	SPNS1	SPNS1
LAT	LAT	LAT
RP11-264B17.5	RP11-264B17.5	RP11-264B17.5
NPIPB10P	NPIPB10P	NPIPB10P
CTB-134H23.3	CTB-134H23.3	CTB-134H23.3
RRN3P2	RRN3P2	RRN3P2
RP11-426C22.5	RP11-426C22.5	RP11-426C22.5
RP11-426C22.1	RP11-426C22.1	RP11-426C22.1
RP11-426C22.4	RP11-426C22.4	RP11-426C22.4
RP11-426C22.7	RP11-426C22.7	RP11-426C22.7
RP11-426C22.6	RP11-426C22.6	RP11-426C22.6
RP11-426C22.8	RP11-426C22.8	RP11-426C22.8
RP11-231C14.6	RP11-231C14.6	RP11-231C14.6
SNX29P2	SNX29P2	SNX29P2
RP11-231C14.8	RP11-231C14.8	RP11-231C14.8
NPIPB11	NPIPB11	NPIPB11
SMG1P6	SMG1P6	SMG1P6
RP11-345J4.6	RP11-345J4.6	RP11-345J4.6
BOLA2	BOLA2	BOLA2
SLX1B	SLX1B	SLX1B
SULT1A4	SULT1A4	SULT1A4
RP11-345J4.3	RP11-345J4.3	RP11-345J4.3
RP11-345J4.4	RP11-345J4.4	RP11-345J4.4
RP11-345J4.1	RP11-345J4.1	RP11-345J4.1
RP11-231C14.5	RP11-231C14.5	RP11-231C14.5
NPIPB12	NPIPB12	NPIPB12
SMG1P2	SMG1P2	SMG1P2
RP11-368N21.5	RP11-368N21.5	RP11-368N21.5
MIR3680-2	MIR3680-2	MIR3680-2
SLC7A5P1	SLC7A5P1	SLC7A5P1
CA5AP1	CA5AP1	CA5AP1
RP11-368N21.1	RP11-368N21.1	RP11-368N21.1
SPN	SPN	SPN
QPRT	QPRT	QPRT
RN7SKP127	RN7SKP127	RN7SKP127
C16orf54	C16orf54	C16orf54
AC009133.17	AC009133.17	AC009133.17
ZG16	ZG16	ZG16
KIF22	KIF22	KIF22
AC009133.21	AC009133.21	AC009133.21
MAZ	MAZ	MAZ
AC009133.15	AC009133.15	AC009133.15
AC009133.12	AC009133.12	AC009133.12
PRRT2	PRRT2	PRRT2
PAGR1	PAGR1	PAGR1
MVP	MVP	MVP
CDIPT	CDIPT	CDIPT
CTD-2574D22.7	CTD-2574D22.7	CTD-2574D22.7
CDIPT-AS1	CDIPT-AS1	CDIPT-AS1
SEZ6L2	SEZ6L2	SEZ6L2
ASPHD1	ASPHD1	ASPHD1
KCTD13	KCTD13	KCTD13
CTD-2574D22.3	CTD-2574D22.3	CTD-2574D22.3
CTD-2574D22.4	CTD-2574D22.4	CTD-2574D22.4
CTD-2574D22.2	CTD-2574D22.2	CTD-2574D22.2
TMEM219	TMEM219	TMEM219
TAOK2	TAOK2	TAOK2
HIRIP3	HIRIP3	HIRIP3
INO80E	INO80E	INO80E
DOC2A	DOC2A	DOC2A
C16orf92	C16orf92	C16orf92
FAM57B	FAM57B	FAM57B
ALDOA	ALDOA	ALDOA
CTD-2515O10.5	CTD-2515O10.5	CTD-2515O10.5
PPP4C	PPP4C	PPP4C
TBX6	TBX6	TBX6
YPEL3	YPEL3	YPEL3
RP11-455F5.3	RP11-455F5.3	RP11-455F5.3
GDPD3	GDPD3	GDPD3
RP11-455F5.4	RP11-455F5.4	RP11-455F5.4
RP11-455F5.6	RP11-455F5.6	RP11-455F5.6
MAPK3	MAPK3	MAPK3
CORO1A	CORO1A	CORO1A
RP11-455F5.5	RP11-455F5.5	RP11-455F5.5
BOLA2B	BOLA2B	BOLA2B
SLX1A	SLX1A	SLX1A
SULT1A3	SULT1A3	SULT1A3
RP11-347C12.3	RP11-347C12.3	RP11-347C12.3
RP11-347C12.4	RP11-347C12.4	RP11-347C12.4
RP11-347C12.9	RP11-347C12.9	RP11-347C12.9
RP11-347C12.8	RP11-347C12.8	RP11-347C12.8
NPIPB13	NPIPB13	NPIPB13
SMG1P5	SMG1P5	SMG1P5
RP11-347C12.12	RP11-347C12.12	RP11-347C12.12
CD2BP2	CD2BP2	CD2BP2
RP11-347C12.10	RP11-347C12.10	RP11-347C12.10
TBC1D10B	TBC1D10B	TBC1D10B
RP11-347C12.11	RP11-347C12.11	RP11-347C12.11
MYLPF	MYLPF	MYLPF
ZNF48	ZNF48	ZNF48
SEPT1	SEPT1	SEPT1
RP11-297C4.6	RP11-297C4.6	RP11-297C4.6
ZNF771	ZNF771	ZNF771
DCTPP1	DCTPP1	DCTPP1
SEPHS2	SEPHS2	SEPHS2
ITGAL	ITGAL	ITGAL
RP11-297C4.2	RP11-297C4.2	RP11-297C4.2
RP11-297C4.3	RP11-297C4.3	RP11-297C4.3
RNU7-61P	RNU7-61P	RNU7-61P
RP11-297C4.1	RP11-297C4.1	RP11-297C4.1
MIR4518	MIR4518	MIR4518
ZNF768	ZNF768	ZNF768
AC002310.14	AC002310.14	AC002310.14
ZNF747	ZNF747	ZNF747
AC002310.12	AC002310.12	AC002310.12
AC002310.10	AC002310.10	AC002310.10
ZNF764	ZNF764	ZNF764
ZNF688	ZNF688	ZNF688
ZNF785	ZNF785	ZNF785
AC002310.7	AC002310.7	AC002310.7
RP11-146F11.5	RP11-146F11.5	RP11-146F11.5
AC002310.17	AC002310.17	AC002310.17
ZNF689	ZNF689	ZNF689
RP11-146F11.4	RP11-146F11.4	RP11-146F11.4
RP11-146F11.3	RP11-146F11.3	RP11-146F11.3
RP11-146F11.2	RP11-146F11.2	RP11-146F11.2
PRR14	PRR14	PRR14
FBRS	FBRS	FBRS
RNU6-416P	RNU6-416P	RNU6-416P
RP11-146F11.1	RP11-146F11.1	RP11-146F11.1
SRCAP	SRCAP	SRCAP
RNU6-1043P	RNU6-1043P	RNU6-1043P
TMEM265	TMEM265	TMEM265
PHKG2	PHKG2	PHKG2
CCDC189	CCDC189	CCDC189
RNF40	RNF40	RNF40
RP11-2C24.3	RP11-2C24.3	RP11-2C24.3
ZNF629	ZNF629	ZNF629
RP11-2C24.5	RP11-2C24.5	RP11-2C24.5
RP11-2C24.7	RP11-2C24.7	RP11-2C24.7
BCL7C	BCL7C	BCL7C
MIR762HG	MIR762HG	MIR762HG
CTF1	CTF1	CTF1
CTF2P	CTF2P	CTF2P
FBXL19-AS1	FBXL19-AS1	FBXL19-AS1
FBXL19	FBXL19	FBXL19
ORAI3	ORAI3	ORAI3
RP11-1072A3.4	RP11-1072A3.4	RP11-1072A3.4
SETD1A	SETD1A	SETD1A
RP11-1072A3.3	RP11-1072A3.3	RP11-1072A3.3
HSD3B7	HSD3B7	HSD3B7
STX1B	STX1B	STX1B
STX4	STX4	STX4
RP11-196G11.2	RP11-196G11.2	RP11-196G11.2
RP11-196G11.6	RP11-196G11.6	RP11-196G11.6
ZNF668	ZNF668	ZNF668
AC135050.5	AC135050.5	AC135050.5
ZNF646	ZNF646	ZNF646
PRSS53	PRSS53	PRSS53
VKORC1	VKORC1	VKORC1
RP11-196G11.3	RP11-196G11.3	RP11-196G11.3
BCKDK	BCKDK	BCKDK
KAT8	KAT8	KAT8
RP11-196G11.4	RP11-196G11.4	RP11-196G11.4
RP11-196G11.5	RP11-196G11.5	RP11-196G11.5
PRSS8	PRSS8	PRSS8
PRSS36	PRSS36	PRSS36
RP11-388M20.7	RP11-388M20.7	RP11-388M20.7
NDUFA3P6	NDUFA3P6	NDUFA3P6
FUS	FUS	FUS
RP11-388M20.6	RP11-388M20.6	RP11-388M20.6
RP11-388M20.1	RP11-388M20.1	RP11-388M20.1
PYCARD	PYCARD	PYCARD
PYCARD-AS1	PYCARD-AS1	PYCARD-AS1
TRIM72	TRIM72	TRIM72
PYDC1	PYDC1	PYDC1
ITGAM	ITGAM	ITGAM
ITGAX	ITGAX	ITGAX
RP11-120K18.3	RP11-120K18.3	RP11-120K18.3
ITGAD	ITGAD	ITGAD
RP11-120K18.2	RP11-120K18.2	RP11-120K18.2
COX6A2	COX6A2	COX6A2
RP11-452L6.8	RP11-452L6.8	RP11-452L6.8
ZNF843	ZNF843	ZNF843
RP11-452L6.1	RP11-452L6.1	RP11-452L6.1
RP11-452L6.5	RP11-452L6.5	RP11-452L6.5
ARMC5	ARMC5	ARMC5
RP11-452L6.6	RP11-452L6.6	RP11-452L6.6
TGFB1I1	TGFB1I1	TGFB1I1
SLC5A2	SLC5A2	SLC5A2
AC026471.6	AC026471.6	AC026471.6
C16orf58	C16orf58	C16orf58
RP11-452L6.7	RP11-452L6.7	RP11-452L6.7
AHSP	AHSP	AHSP
CTD-2014E2.2	CTD-2014E2.2	CTD-2014E2.2
VN1R64P	VN1R64P	VN1R64P
LINC02190	LINC02190	LINC02190
VN1R65P	VN1R65P	VN1R65P
FRG2KP	FRG2KP	FRG2KP
CTD-2014E2.7	CTD-2014E2.7	CTD-2014E2.7
CSDAP1	CSDAP1	CSDAP1
ZNF720P1	ZNF720P1	ZNF720P1
VN1R66P	VN1R66P	VN1R66P
RBM22P12	RBM22P12	RBM22P12
CTD-2358C21.2	CTD-2358C21.2	CTD-2358C21.2
CTD-2358C21.3	CTD-2358C21.3	CTD-2358C21.3
CLUHP3	CLUHP3	CLUHP3
CTD-2358C21.5	CTD-2358C21.5	CTD-2358C21.5
ZNF720	ZNF720	ZNF720
AC002519.8	AC002519.8	AC002519.8
VN1R67P	VN1R67P	VN1R67P
AC002519.6	AC002519.6	AC002519.6
VN1R3	VN1R3	VN1R3
RBM22P13	RBM22P13	RBM22P13
RP11-170L3.2	RP11-170L3.2	RP11-170L3.2
ZNF267	ZNF267	ZNF267
RP11-170L3.4	RP11-170L3.4	RP11-170L3.4
RP11-170L3.5	RP11-170L3.5	RP11-170L3.5
RP11-170L3.7	RP11-170L3.7	RP11-170L3.7
